bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,constant
-0.08432210043304667,0.08553722109962411,0.3650478347812518,0.0,0.006306478142327007,0.1144771913214361,0.11803787531993601,0.05682337372732184,0.3089434116492527,0.06845095981818727,0.001439150867009743,-0.20307868986050848,0.023180877940733792,0.2097421910955792,-0.03895580347274294,0.05124327976929614,-0.012741228947995849,-0.004096083447784116
-0.11460218463010571,0.058082353951385335,0.380869031923874,0.0,0.009114788576862366,0.10372806309763818,0.0709040788794924,0.0411350527723269,0.3673376651050342,0.18139306876889968,2.6395402776981276e-5,-0.23037096027388274,0.008391363086081526,0.23757953775317714,0.027476701101679338,0.13894554293542632,0.0,0.1225023612544689
-0.04648585009385584,7.031566133352788e-5,0.21498204690518158,0.0,-0.05401545928734835,0.0982044956065469,0.08109117243807137,0.07320941549207846,0.23127398514301076,0.22200481561446256,0.00010647682270261373,-0.04600011722896079,0.031125390375139967,0.45358890864827556,0.031790710377463754,0.14798113042928443,0.0,0.21044450039517626
0.0,0.0,0.0985004807890438,0.0,0.0,0.049918551405607414,0.12783425484398525,0.02745651725941149,0.12999498151672506,0.09545948802520875,0.0002383183551570835,0.0040696410156453615,0.021829374112888777,0.17130861297698835,-0.036069161503964595,0.025323758486205147,0.0,-0.3226757177485501
-0.041209353376300176,0.0,0.2222570398954214,0.0,-0.11304746045828737,0.1945908803065022,0.06819966921737892,0.06391855283597392,0.268029879169412,0.39528403365278797,0.0,-0.03739808791031424,0.02120692291309469,0.5355801488471479,0.0,0.18363361028415037,0.0,0.33478134680773386
-0.08232488733409206,0.0,0.387348074185152,0.0,-0.10625746029222846,0.2274736463207385,0.08467276219095989,0.051754121302176555,0.20684412360235557,0.4165164758169078,5.030020757738506e-5,-0.05589154825904516,0.014240377352993966,-1.2661846165502426,0.021689826151350886,0.16740449008921507,0.0,1.7190147833017806
0.0,0.0059847029187952115,0.2022904462947574,0.0,-0.06901576173885873,0.08865406874448002,0.08170834795531391,0.05280500963072181,0.25529337176520395,0.27337770875207035,0.0,-0.05541900313436121,0.01580157086728885,-0.9842414974578539,0.02673132147840874,0.07015308017849305,0.0,1.2975022903095017
0.0,0.021072886142274858,0.717930550501348,0.0,-0.19815306744124905,0.18933985659307168,0.17414243836916804,0.0,0.13314310823473494,0.5979796802839354,0.0003541314191097073,-0.08814936901301182,0.026166428862514114,-2.0924964643005435,0.0,0.09375043807956286,0.0,2.0067376531031043
-0.026981889697140684,0.02957903690274192,0.22996879020443595,0.014160522120466637,-0.03585077070980872,0.18949797368191892,0.12054247879291338,0.05568839161763812,0.2101795285878911,0.04864993969011731,0.00014739594440891826,-0.04129591374946842,0.012920182721765554,0.19423460329957185,0.0,0.09057720958322532,0.0,-0.11168096660397797
0.0,0.0,0.08230154321142989,0.0291324457637249,-0.010117864970846435,0.0,0.016253240049437505,0.01137999305885341,0.12340762972354057,0.09588830843066341,0.0,0.0,0.003772878672594694,0.13057211916200182,0.0571752460129381,0.060078949207244464,0.006866370052284584,-0.40058098613542137
-0.019778143771357636,0.0,0.2570688497891018,0.02112151327429241,-0.040104847470620084,0.17984621146572968,0.1215351413024654,0.043195673465823974,0.1781312307054681,0.10292035423387993,6.552833736210663e-5,0.0,0.010278518242020066,-0.08198701751336661,-0.12465084087127483,0.05559571676879497,0.0,0.19614937466258664
